system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|utbetalningsgrupp_id|arbetsmatt_heltid_id|arbetsmatt_heltid|arbetsmatt_heltid_startdatum|arbetsmatt_heltid_slutdatum
Flex Lön|1973|2022|098765-4321|921|            |1|1|1|38.25|1996-03-01T00:00|
Flex Lön|1973|2022|098765-4321|921|19760628-0696|20|0|1|38.25|2001-07-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |30|0|1|38.25|2012-02-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |40|0|1|38.25|2016-01-01T00:00|
Flex Lön|1973|2022|098765-4321|921|19650927-0689|50|0|1|0|2016-05-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |60|0|1|0|2019-12-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |70|0|1|0|2020-05-01T00:00|
Flex Lön|1973|2022|098765-4321|921|19760801-0695|80|0|1|0|2017-11-01T00:00|
Flex Lön|1973|2022|098765-4321|921|19780525-3148|90|0|1|0|2012-04-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |100|0|1|0|2000-06-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |120|0|1|0|2018-08-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |300|0|1|38.25|1973-05-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |301|0|1|0|2018-12-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |303|0|1|0|2003-03-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |304|0|1|38.25|2001-05-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |305|0|1|0|2012-12-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |306|0|1|0|2005-07-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |307|0|1|0|2019-01-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |308|0|1|0|2017-05-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |309|0|1|0|2020-01-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |310|0|1|38.25|2017-08-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |312|0|1|0|2019-12-01T00:00|
Flex Lön|1973|2022|098765-4321|921|            |313|0|1|38.25|1989-05-01T00:00|
