system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|lonekorningsnummer|utbetalningsgrupp_id|utbetalningsgrupp_namn|utbetalningsdatum|fornamn|efternamn|lonespec
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Mimmi|Musiker|lonespecifikationer\123456-7890_197007123180_1_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Valter|Vaktis|lonespecifikationer\123456-7890_196408140678_20_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Vera|Vaktis|lonespecifikationer\123456-7890_196706260640_30_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Piia|Präst|lonespecifikationer\123456-7890_195408230687_40_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Petra|Pedagog|lonespecifikationer\123456-7890_196403030643_50_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Karin|Kanslist|lonespecifikationer\123456-7890_196105140666_60_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Fröken|Fredrik|lonespecifikationer\123456-7890_199105093133_70_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Fabian|Fastigheter|lonespecifikationer\123456-7890_195112060677_80_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Diana|Diakon|lonespecifikationer\123456-7890_199605260687_90_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Kicki|Kyrkoherde|lonespecifikationer\123456-7890_197810080684_100_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19800326-0695|110|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Pelle|På Stan|lonespecifikationer\123456-7890_198003260695_110_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19891019-3153|120|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Tim|Timmis|lonespecifikationer\123456-7890_198910193153_120_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |130|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Felix|ferie|lonespecifikationer\123456-7890__130_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19770406-001|140|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Fred|Förtroende|lonespecifikationer\123456-7890_19770406001_140_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |150|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Uffe|Uppdragstagare|lonespecifikationer\123456-7890__150_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Pelle|Pensionär|lonespecifikationer\123456-7890_194111290674_300_202006_lonespec.html
