system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|utbetalningsgrupp_id|lonetillagg_id|lonetillagg_namn|lonetillagg_varde|lonetillagg_startdatum|lonetillagg_slutdatum
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|0|N1|Lönetillägg_heltid|4000|2021-01-01T00:00|2021-03-31T00:00
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|0|N16|Uppehållsfaktor|0|2020-05-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|0|N2|Lönetillägg_faktiskt|4000|2021-01-01T00:00|2021-03-31T00:00
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|0|N1|Lönetillägg_heltid|2000|2020-11-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|0|N16|Uppehållsfaktor|0.92|2021-01-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|0|N2|Lönetillägg_faktiskt|2000|2020-11-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|0|N1|Lönetillägg_heltid|1000|2021-01-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|0|N16|Uppehållsfaktor|0.95|2021-01-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|0|N2|Lönetillägg_faktiskt|1000|2021-01-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|0|N1|Lönetillägg_heltid|2000|2021-04-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|0|N2|Lönetillägg_faktiskt|2000|2021-04-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|0|N1|Lönetillägg_heltid|5000|2005-07-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|0|N2|Lönetillägg_faktiskt|5000|2005-07-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|0|N1|Lönetillägg_heltid|2000|2021-04-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|0|N2|Lönetillägg_faktiskt|2000|2021-04-01T00:00|2049-01-01T00:00
Flex Lön|1973|2022|123456-7890|923|19690326-0609|312|0|N16|Uppehållsfaktor|0.9|2019-12-01T00:00|2022-11-30T00:00
