system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|fordelning_id|lonekorningsnummer|utbetalningsgrupp_id|utbetalningsgrupp_namn|transaktion_id|dim01_namn|dim01_varde|dim02_namn|dim02_varde|dim03_namn|dim03_varde|dim04_namn|dim04_varde|dim05_namn|dim05_varde|dim06_namn|dim06_varde|dim07_namn|dim07_varde|dim08_namn|dim08_varde|dim09_namn|dim09_varde|dim10_namn|dim10_varde|procentfordelning
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|1|2020-06|1|Månadsutbetalning|1|Konto|7011|K-ställe||Projekt|2100|Kund||Artikel||||||||||||100
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|1|2020-06|1|Månadsutbetalning|2|Konto|2710|K-ställe||Projekt||Kund||Artikel||||||||||||100
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|1|2020-07|1|Månadsutbetalning|2|Konto|2710|K-ställe||Projekt||Kund||Artikel||||||||||||100
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|1|2020-07|1|Månadsutbetalning|32|Konto|7011|K-ställe||Projekt|2100|Kund||Artikel||||||||||||100
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|1|2020-07|1|Månadsutbetalning|33|Konto|7011|K-ställe||Projekt|2100|Kund||Artikel||||||||||||100
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|1|2020-07|1|Månadsutbetalning|34|Konto|7011|K-ställe||Projekt|2100|Kund||Artikel||||||||||||100
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|1|2020-07|1|Månadsutbetalning|35|Konto|7011|K-ställe||Projekt|2100|Kund||Artikel||||||||||||100
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|1|2020-07|1|Månadsutbetalning|36|Konto||K-ställe||Projekt||Kund||Artikel||||||||||||100
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|1|2020-07|1|Månadsutbetalning|37|Konto|3740|K-ställe|900|Projekt|6900|Kund||Artikel||||||||||||100
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|1|2020-07|1|Månadsutbetalning|45|Konto|7011|K-ställe||Projekt|2100|Kund||Artikel||||||||||||100
