system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|transaktion_id|utbetalningsgrupp_id|utbetalningsgrupp_namn|lonekorningsnummer|personalkategori|loneart_kod|loneart_namn|datumstart|datumslut|omfattning_procent|antal|enhet|apris|belopp_sek|transaktionsrad_text
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|32000|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-8204|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|25500|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-6229|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|29000|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-7276|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|41000|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-11354|
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|29000|
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-7276|
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|35000|
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-9254|
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|26000|
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-6352|
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|32500|
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-8414|
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|35000|
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-9254|
