system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|utbetalningsgrupp_id|sysselsattningsgrad_id|sysselsattningsgrad|sysselsattningsgrad_startdatum|sysselsattningsgrad_slutdatum
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|0|1|100|1996-03-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|0|1|100|2001-07-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|0|1|100|2012-02-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|0|1|50|2016-01-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|0|2|100|2021-03-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|0|1|100|2016-05-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|0|1|100|2019-12-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|0|1|100|2020-05-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|0|1|100|2017-11-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|0|1|100|2012-04-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|0|1|100|2000-06-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19891019-3153|120|0|1|20|2018-08-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19880121-0694|160|0|1|100|2021-06-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19860214-3102|170|0|1|100|2021-08-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|0|1|100|1973-05-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|0|2|80|2021-04-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19970823-0637|301|0|1|30|2018-12-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19630814-0604|303|0|1|75|2003-03-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19950608-3105|304|0|1|100|2001-05-01T00:00|
Flex Lön|1973|2022|123456-7890|923|20010815-0657|305|0|1|100|2012-12-01T00:00|
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|0|1|100|2005-07-01T00:00|
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|0|1|100|2019-01-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19691208-0618|308|0|1|100|2017-05-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19720817-3174|309|0|1|100|2020-01-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19710207-3140|310|0|1|100|2017-08-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19690326-0609|312|0|1|100|2019-12-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19800609-3119|313|0|1|100|1989-05-01T00:00|
